#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Общая длина L (мм),Параметр:Заказной код:Материалы контактирующие со средой,Параметр:Заказной код:Тип корпуса,Параметр:Заказной код:Размер поплавка,Параметр:Заказной код:Форма контакта,Параметр:Заказной код:Количество поплавков,Параметр:Заказной код:Размер и количество поплавков
,"WLS-203-B-G16-2-3-5-2-C-B-L=1000mm-l1=____mm __ON, l2=____mm __ON",Гост Py16 Dy50,1000,SS316,HN (IP65),B - Ø49x49 (SS316),SPDT (150V AC/DC),два,два B (SS316)
,"WLS-203-B-G16-2-3-5-2-C-B-L=2000mm-l1=____mm __ON, l2=____mm __ON",Гост Py16 Dy50,2000,SS316,HN (IP65),B - Ø49x49 (SS316),SPDT (150V AC/DC),два,два B (SS316)
,"WLS-203-B-G16-2-3-5-2-C-B-L=3000mm-l1=____mm __ON, l2=____mm __ON",Гост Py16 Dy50,3000,SS316,HN (IP65),B - Ø49x49 (SS316),SPDT (150V AC/DC),два,два B (SS316)
,"WLS-203-B-G16-2-3-5-2-C-B-L=4000mm-l1=____mm __ON, l2=____mm __ON",Гост Py16 Dy50,4000,SS316,HN (IP65),B - Ø49x49 (SS316),SPDT (150V AC/DC),два,два B (SS316)
,"WLS-203-B-G16-2-3-8-1-C-B-L=1000mm-l1=____mm __ON, l2=____mm __ON",Гост Py16 Dy50,1000,SS316,HP (IP67),B - Ø49x49 (SS316),SPDT (150V AC/DC),два,два B (SS316)
,"WLS-203-B-G16-2-3-8-1-C-B-L=2000mm-l1=____mm __ON, l2=____mm __ON",Гост Py16 Dy50,2000,SS316,HP (IP67),B - Ø49x49 (SS316),SPDT (150V AC/DC),два,два B (SS316)
,"WLS-203-B-G16-2-3-8-1-C-B-L=3000mm-l1=____mm __ON, l2=____mm __ON",Гост Py16 Dy50,3000,SS316,HP (IP67),B - Ø49x49 (SS316),SPDT (150V AC/DC),два,два B (SS316)
,"WLS-203-B-G16-2-3-8-1-C-B-L=4000mm-l1=____mm __ON, l2=____mm __ON",Гост Py16 Dy50,4000,SS316,HP (IP67),B - Ø49x49 (SS316),SPDT (150V AC/DC),два,два B (SS316)
,"WLS-203-B-G16-2-3-8-2-C-B-L=1000mm-l1=____mm __ON, l2=____mm __ON",Гост Py16 Dy50,1000,SS316,HN (IP65),B - Ø49x49 (SS316),SPDT (150V AC/DC),два,два B (SS316)
,"WLS-203-B-G16-2-3-8-2-C-B-L=2000mm-l1=____mm __ON, l2=____mm __ON",Гост Py16 Dy50,2000,SS316,HN (IP65),B - Ø49x49 (SS316),SPDT (150V AC/DC),два,два B (SS316)
,"WLS-203-B-G16-2-3-8-2-C-B-L=3000mm-l1=____mm __ON, l2=____mm __ON",Гост Py16 Dy50,3000,SS316,HN (IP65),B - Ø49x49 (SS316),SPDT (150V AC/DC),два,два B (SS316)
,"WLS-203-B-G16-2-3-8-2-C-B-L=4000mm-l1=____mm __ON, l2=____mm __ON",Гост Py16 Dy50,4000,SS316,HN (IP65),B - Ø49x49 (SS316),SPDT (150V AC/DC),два,два B (SS316)
,"WLS-203-B-G16-2-3-11-1-C-B-L=1000mm-l1=____mm __ON, l2=____mm __ON",Гост Py16 Dy50,1000,SS316,HP (IP67),B - Ø49x49 (SS316),SPDT (150V AC/DC),два,два B (SS316)
,"WLS-203-B-G16-2-3-11-1-C-B-L=2000mm-l1=____mm __ON, l2=____mm __ON",Гост Py16 Dy50,2000,SS316,HP (IP67),B - Ø49x49 (SS316),SPDT (150V AC/DC),два,два B (SS316)
,"WLS-203-B-G16-2-3-11-1-C-B-L=3000mm-l1=____mm __ON, l2=____mm __ON",Гост Py16 Dy50,3000,SS316,HP (IP67),B - Ø49x49 (SS316),SPDT (150V AC/DC),два,два B (SS316)
,"WLS-203-B-G16-2-3-11-1-C-B-L=4000mm-l1=____mm __ON, l2=____mm __ON",Гост Py16 Dy50,4000,SS316,HP (IP67),B - Ø49x49 (SS316),SPDT (150V AC/DC),два,два B (SS316)
,"WLS-203-B-G16-2-3-11-2-C-B-L=1000mm-l1=____mm __ON, l2=____mm __ON",Гост Py16 Dy50,1000,SS316,HN (IP65),B - Ø49x49 (SS316),SPDT (150V AC/DC),два,два B (SS316)
,"WLS-203-B-G16-2-3-11-2-C-B-L=2000mm-l1=____mm __ON, l2=____mm __ON",Гост Py16 Dy50,2000,SS316,HN (IP65),B - Ø49x49 (SS316),SPDT (150V AC/DC),два,два B (SS316)
,"WLS-203-B-G16-2-3-11-2-C-B-L=3000mm-l1=____mm __ON, l2=____mm __ON",Гост Py16 Dy50,3000,SS316,HN (IP65),B - Ø49x49 (SS316),SPDT (150V AC/DC),два,два B (SS316)
,"WLS-203-B-G16-2-3-11-2-C-B-L=4000mm-l1=____mm __ON, l2=____mm __ON",Гост Py16 Dy50,4000,SS316,HN (IP65),B - Ø49x49 (SS316),SPDT (150V AC/DC),два,два B (SS316)
,"WLS-301-A-B-2-1-6-1-A-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",NPT 1 1/2,1000,SS316,HP (IP67),A - Ø28x27 (SS316),SPST (230V AC/DC),три,три A (SS316)
,"WLS-301-A-B-2-1-6-1-A-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",NPT 1 1/2,2000,SS316,HP (IP67),A - Ø28x27 (SS316),SPST (230V AC/DC),три,три A (SS316)
,"WLS-301-A-B-2-1-6-1-A-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",NPT 1 1/2,3000,SS316,HP (IP67),A - Ø28x27 (SS316),SPST (230V AC/DC),три,три A (SS316)
,"WLS-301-A-B-2-1-6-1-A-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",NPT 1 1/2,4000,SS316,HP (IP67),A - Ø28x27 (SS316),SPST (230V AC/DC),три,три A (SS316)
,"WLS-301-A-B-2-1-6-2-A-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",NPT 1 1/2,1000,SS316,HN (IP65),A - Ø28x27 (SS316),SPST (230V AC/DC),три,три A (SS316)
,"WLS-301-A-B-2-1-6-2-A-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",NPT 1 1/2,2000,SS316,HN (IP65),A - Ø28x27 (SS316),SPST (230V AC/DC),три,три A (SS316)
,"WLS-301-A-B-2-1-6-2-A-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",NPT 1 1/2,3000,SS316,HN (IP65),A - Ø28x27 (SS316),SPST (230V AC/DC),три,три A (SS316)
,"WLS-301-A-B-2-1-6-2-A-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",NPT 1 1/2,4000,SS316,HN (IP65),A - Ø28x27 (SS316),SPST (230V AC/DC),три,три A (SS316)
,"WLS-301-A-B-2-3-2-1-A-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",NPT 1 1/2,1000,SS316,HP (IP67),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-B-2-3-2-1-A-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",NPT 1 1/2,2000,SS316,HP (IP67),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-B-2-3-2-1-A-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",NPT 1 1/2,3000,SS316,HP (IP67),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-B-2-3-2-1-A-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",NPT 1 1/2,4000,SS316,HP (IP67),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-B-2-3-2-2-A-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",NPT 1 1/2,1000,SS316,HN (IP65),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-B-2-3-2-2-A-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",NPT 1 1/2,2000,SS316,HN (IP65),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-B-2-3-2-2-A-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",NPT 1 1/2,3000,SS316,HN (IP65),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-B-2-3-2-2-A-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",NPT 1 1/2,4000,SS316,HN (IP65),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-B-2-3-5-1-A-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",NPT 1 1/2,1000,SS316,HP (IP67),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-B-2-3-5-1-A-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",NPT 1 1/2,2000,SS316,HP (IP67),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-B-2-3-5-1-A-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",NPT 1 1/2,3000,SS316,HP (IP67),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-B-2-3-5-1-A-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",NPT 1 1/2,4000,SS316,HP (IP67),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-B-2-3-5-2-A-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",NPT 1 1/2,1000,SS316,HN (IP65),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-B-2-3-5-2-A-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",NPT 1 1/2,2000,SS316,HN (IP65),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-B-2-3-5-2-A-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",NPT 1 1/2,3000,SS316,HN (IP65),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-B-2-3-5-2-A-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",NPT 1 1/2,4000,SS316,HN (IP65),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G-2-1-6-1-A-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",ANSI 150# 1 1/2,1000,SS316,HP (IP67),A - Ø28x27 (SS316),SPST (230V AC/DC),три,три A (SS316)
,"WLS-301-A-G-2-1-6-1-A-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",ANSI 150# 1 1/2,2000,SS316,HP (IP67),A - Ø28x27 (SS316),SPST (230V AC/DC),три,три A (SS316)
,"WLS-301-A-G-2-1-6-1-A-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",ANSI 150# 1 1/2,3000,SS316,HP (IP67),A - Ø28x27 (SS316),SPST (230V AC/DC),три,три A (SS316)
,"WLS-301-A-G-2-1-6-1-A-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",ANSI 150# 1 1/2,4000,SS316,HP (IP67),A - Ø28x27 (SS316),SPST (230V AC/DC),три,три A (SS316)
,"WLS-301-A-G-2-1-6-2-A-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",ANSI 150# 1 1/2,1000,SS316,HN (IP65),A - Ø28x27 (SS316),SPST (230V AC/DC),три,три A (SS316)
,"WLS-301-A-G-2-1-6-2-A-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",ANSI 150# 1 1/2,2000,SS316,HN (IP65),A - Ø28x27 (SS316),SPST (230V AC/DC),три,три A (SS316)
,"WLS-301-A-G-2-1-6-2-A-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",ANSI 150# 1 1/2,3000,SS316,HN (IP65),A - Ø28x27 (SS316),SPST (230V AC/DC),три,три A (SS316)
,"WLS-301-A-G-2-1-6-2-A-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",ANSI 150# 1 1/2,4000,SS316,HN (IP65),A - Ø28x27 (SS316),SPST (230V AC/DC),три,три A (SS316)
,"WLS-301-A-G-2-3-2-1-A-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",ANSI 150# 1 1/2,1000,SS316,HP (IP67),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G-2-3-2-1-A-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",ANSI 150# 1 1/2,2000,SS316,HP (IP67),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G-2-3-2-1-A-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",ANSI 150# 1 1/2,3000,SS316,HP (IP67),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G-2-3-2-1-A-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",ANSI 150# 1 1/2,4000,SS316,HP (IP67),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G-2-3-2-2-A-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",ANSI 150# 1 1/2,1000,SS316,HN (IP65),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G-2-3-2-2-A-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",ANSI 150# 1 1/2,2000,SS316,HN (IP65),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G-2-3-2-2-A-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",ANSI 150# 1 1/2,3000,SS316,HN (IP65),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G-2-3-2-2-A-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",ANSI 150# 1 1/2,4000,SS316,HN (IP65),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G-2-3-5-1-A-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",ANSI 150# 1 1/2,1000,SS316,HP (IP67),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G-2-3-5-1-A-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",ANSI 150# 1 1/2,2000,SS316,HP (IP67),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G-2-3-5-1-A-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",ANSI 150# 1 1/2,3000,SS316,HP (IP67),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G-2-3-5-1-A-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",ANSI 150# 1 1/2,4000,SS316,HP (IP67),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G-2-3-5-2-A-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",ANSI 150# 1 1/2,1000,SS316,HN (IP65),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G-2-3-5-2-A-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",ANSI 150# 1 1/2,2000,SS316,HN (IP65),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G-2-3-5-2-A-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",ANSI 150# 1 1/2,3000,SS316,HN (IP65),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G-2-3-5-2-A-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",ANSI 150# 1 1/2,4000,SS316,HN (IP65),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G10-2-1-6-1-A-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py10 Dy40,1000,SS316,HP (IP67),A - Ø28x27 (SS316),SPST (230V AC/DC),три,три A (SS316)
,"WLS-301-A-G10-2-1-6-1-A-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py10 Dy40,2000,SS316,HP (IP67),A - Ø28x27 (SS316),SPST (230V AC/DC),три,три A (SS316)
,"WLS-301-A-G10-2-1-6-1-A-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py10 Dy40,3000,SS316,HP (IP67),A - Ø28x27 (SS316),SPST (230V AC/DC),три,три A (SS316)
,"WLS-301-A-G10-2-1-6-1-A-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py10 Dy40,4000,SS316,HP (IP67),A - Ø28x27 (SS316),SPST (230V AC/DC),три,три A (SS316)
,"WLS-301-A-G10-2-1-6-2-A-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py10 Dy40,1000,SS316,HN (IP65),A - Ø28x27 (SS316),SPST (230V AC/DC),три,три A (SS316)
,"WLS-301-A-G10-2-1-6-2-A-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py10 Dy40,2000,SS316,HN (IP65),A - Ø28x27 (SS316),SPST (230V AC/DC),три,три A (SS316)
,"WLS-301-A-G10-2-1-6-2-A-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py10 Dy40,3000,SS316,HN (IP65),A - Ø28x27 (SS316),SPST (230V AC/DC),три,три A (SS316)
,"WLS-301-A-G10-2-1-6-2-A-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py10 Dy40,4000,SS316,HN (IP65),A - Ø28x27 (SS316),SPST (230V AC/DC),три,три A (SS316)
,"WLS-301-A-G10-2-3-2-1-A-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py10 Dy40,1000,SS316,HP (IP67),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G10-2-3-2-1-A-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py10 Dy40,2000,SS316,HP (IP67),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G10-2-3-2-1-A-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py10 Dy40,3000,SS316,HP (IP67),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G10-2-3-2-1-A-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py10 Dy40,4000,SS316,HP (IP67),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G10-2-3-2-2-A-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py10 Dy40,1000,SS316,HN (IP65),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G10-2-3-2-2-A-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py10 Dy40,2000,SS316,HN (IP65),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G10-2-3-2-2-A-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py10 Dy40,3000,SS316,HN (IP65),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G10-2-3-2-2-A-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py10 Dy40,4000,SS316,HN (IP65),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G10-2-3-5-1-A-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py10 Dy40,1000,SS316,HP (IP67),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G10-2-3-5-1-A-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py10 Dy40,2000,SS316,HP (IP67),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G10-2-3-5-1-A-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py10 Dy40,3000,SS316,HP (IP67),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G10-2-3-5-1-A-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py10 Dy40,4000,SS316,HP (IP67),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G10-2-3-5-2-A-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py10 Dy40,1000,SS316,HN (IP65),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G10-2-3-5-2-A-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py10 Dy40,2000,SS316,HN (IP65),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G10-2-3-5-2-A-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py10 Dy40,3000,SS316,HN (IP65),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G10-2-3-5-2-A-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py10 Dy40,4000,SS316,HN (IP65),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G16-2-1-6-1-A-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py16 Dy40,1000,SS316,HP (IP67),A - Ø28x27 (SS316),SPST (230V AC/DC),три,три A (SS316)
,"WLS-301-A-G16-2-1-6-1-A-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py16 Dy40,2000,SS316,HP (IP67),A - Ø28x27 (SS316),SPST (230V AC/DC),три,три A (SS316)
,"WLS-301-A-G16-2-1-6-1-A-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py16 Dy40,3000,SS316,HP (IP67),A - Ø28x27 (SS316),SPST (230V AC/DC),три,три A (SS316)
,"WLS-301-A-G16-2-1-6-1-A-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py16 Dy40,4000,SS316,HP (IP67),A - Ø28x27 (SS316),SPST (230V AC/DC),три,три A (SS316)
,"WLS-301-A-G16-2-1-6-2-A-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py16 Dy40,1000,SS316,HN (IP65),A - Ø28x27 (SS316),SPST (230V AC/DC),три,три A (SS316)
,"WLS-301-A-G16-2-1-6-2-A-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py16 Dy40,2000,SS316,HN (IP65),A - Ø28x27 (SS316),SPST (230V AC/DC),три,три A (SS316)
,"WLS-301-A-G16-2-1-6-2-A-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py16 Dy40,3000,SS316,HN (IP65),A - Ø28x27 (SS316),SPST (230V AC/DC),три,три A (SS316)
,"WLS-301-A-G16-2-1-6-2-A-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py16 Dy40,4000,SS316,HN (IP65),A - Ø28x27 (SS316),SPST (230V AC/DC),три,три A (SS316)
,"WLS-301-A-G16-2-3-2-1-A-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py16 Dy40,1000,SS316,HP (IP67),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G16-2-3-2-1-A-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py16 Dy40,2000,SS316,HP (IP67),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G16-2-3-2-1-A-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py16 Dy40,3000,SS316,HP (IP67),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G16-2-3-2-1-A-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py16 Dy40,4000,SS316,HP (IP67),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G16-2-3-2-2-A-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py16 Dy40,1000,SS316,HN (IP65),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G16-2-3-2-2-A-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py16 Dy40,2000,SS316,HN (IP65),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G16-2-3-2-2-A-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py16 Dy40,3000,SS316,HN (IP65),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G16-2-3-2-2-A-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py16 Dy40,4000,SS316,HN (IP65),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G16-2-3-5-1-A-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py16 Dy40,1000,SS316,HP (IP67),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G16-2-3-5-1-A-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py16 Dy40,2000,SS316,HP (IP67),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G16-2-3-5-1-A-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py16 Dy40,3000,SS316,HP (IP67),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
,"WLS-301-A-G16-2-3-5-1-A-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON",Гост Py16 Dy40,4000,SS316,HP (IP67),A - Ø28x27 (SS316),SPDT (150V AC/DC),три,три A (SS316)
